Periode,Consumentenvertrouwen_1,Koopbereidheid_3,EconomischKlimaat_2
2015-01-01,-2,-8,6
2015-01-01,13,4,27
2015-01-01,14,3,31
2015-01-01,12,1,28
2015-01-01,13,-1,34
2015-01-01,13,0,34
2015-01-01,11,0,28
2015-01-01,11,-3,31
2015-01-01,10,-4,30
2015-01-01,7,-4,22
2015-01-01,-1,-6,6
2015-01-01,14,-1,38
2016-01-01,9,1,20
2016-01-01,21,8,39
2016-01-01,20,8,39
2016-01-01,17,7,32
2016-01-01,12,3,26
2016-01-01,9,2,20
2016-01-01,2,0,5
2016-01-01,7,2,15
2016-01-01,6,1,12
2016-01-01,6,0,16
2016-01-01,11,3,23
2016-01-01,11,3,23
2017-01-01,26,11,49
2017-01-01,25,12,45
2017-01-01,22,10,41
2017-01-01,23,10,43
2017-01-01,25,11,46
2017-01-01,23,10,44
2017-01-01,23,8,45
2017-01-01,26,10,50
2017-01-01,23,10,44
2017-01-01,24,8,47
2017-01-01,22,8,43
2017-01-01,21,7,41
2018-01-01,13,5,24
2018-01-01,15,6,28
2018-01-01,18,8,34
2018-01-01,21,9,40
2018-01-01,23,10,43
2018-01-01,9,3,17
2018-01-01,23,10,43
2018-01-01,25,11,47
2018-01-01,24,10,44
2018-01-01,23,10,43
2018-01-01,24,11,45
2018-01-01,23,9,43
2019-01-01,-2,2,-8
2019-01-01,-2,1,-6
2019-01-01,-1,1,-4
2019-01-01,-2,-1,-3
2019-01-01,-1,-1,-1
2019-01-01,1,-1,6
2019-01-01,-1,-2,2
2019-01-01,-3,-3,-3
2019-01-01,-3,-4,-3
2019-01-01,-2,-3,0
2019-01-01,1,-1,3
2019-01-01,-3,-4,-2
2020-01-01,-29,-10,-58
2020-01-01,-19,-6,-40
2020-01-01,-26,-7,-53
2020-01-01,-30,-9,-61
2020-01-01,-28,-9,-58
2020-01-01,-26,-10,-51
2020-01-01,-2,1,-5
2020-01-01,-31,-17,-52
2020-01-01,-23,-17,-31
2020-01-01,-3,2,-10
2020-01-01,-27,-11,-52
2020-01-01,-2,1,-7
2021-01-01,-26,-17,-39
2021-01-01,-20,-14,-29
2021-01-01,-10,-7,-15
2021-01-01,-5,-3,-8
2021-01-01,-6,-2,-11
2021-01-01,-4,0,-10
2021-01-01,-3,3,-12
2021-01-01,-9,1,-24
2021-01-01,-14,-2,-31
2021-01-01,-18,-4,-39
2021-01-01,-19,-5,-41
2021-01-01,-19,-6,-39
2022-01-01,-52,-43,-65
2022-01-01,-59,-48,-75
2022-01-01,-59,-46,-79
2022-01-01,-54,-40,-74
2022-01-01,-51,-38,-71
2022-01-01,-56,-46,-72
2022-01-01,-47,-33,-68
2022-01-01,-48,-34,-69
2022-01-01,-39,-26,-58
2022-01-01,-30,-20,-46
2022-01-01,-28,-18,-43
2022-01-01,-50,-37,-69
2023-01-01,-29,-21,-41
2023-01-01,-38,-27,-56
2023-01-01,-39,-28,-57
2023-01-01,-40,-29,-56
2023-01-01,-39,-29,-54
2023-01-01,-33,-24,-47
2023-01-01,-38,-28,-53
2023-01-01,-37,-30,-48
2023-01-01,-39,-33,-48
2023-01-01,-44,-37,-54
2023-01-01,-49,-41,-62
2023-01-01,-39,-29,-54
2024-01-01,-26,-13,-45
2024-01-01,-25,-12,-43
2024-01-01,-22,-12,-37
2024-01-01,-21,-11,-37
2024-01-01,-24,-13,-42
2024-01-01,-24,-14,-39
2024-01-01,-22,-12,-38
2024-01-01,-21,-13,-34
2024-01-01,-22,-14,-35
2024-01-01,-26,-17,-41
2024-01-01,-28,-20,-39
2024-01-01,-23,-14,-38
2025-01-01,-32,-17,-54
2025-01-01,-28,-14,-50
2025-01-01,-34,-18,-57
