Maand,Aantal voertuigen
2015-01,320045
2015-02,273654
2015-03,291533
2015-04,278536
2015-05,274390
2015-06,307521
2015-07,293948
2015-08,259779
2015-09,289371
2015-10,307166
2015-11,291887
2015-12,345619
2016-01,313775
2016-02,298288
2016-03,317498
2016-04,300932
2016-05,287678
2016-06,331882
2016-07,298686
2016-08,270038
2016-09,293349
2016-10,300624
2016-11,298777
2016-12,305259
2017-01,336805
2017-02,296275
2017-03,333639
2017-04,281024
2017-05,318422
2017-06,328996
2017-07,311906
2017-08,289731
2017-09,306053
2017-10,312136
2017-11,312214
2017-12,266943
2018-01,356711
2018-02,302075
2018-03,344184
2018-04,292040
2018-05,315922
2018-06,345410
2018-07,318295
2018-08,301597
2018-09,294581
2018-10,315799
2018-11,311450
2018-12,267123
2019-01,342201
2019-02,301237
2019-03,322112
2019-04,298919
2019-05,337769
2019-06,310528
2019-07,316618
2019-08,297411
2019-09,300657
2019-10,334815
2019-11,333723
2019-12,308169
2020-01,364381
2020-02,319981
2020-03,297351
2020-04,236030
2020-05,307007
2020-06,334431
2020-07,356701
2020-08,298361
2020-09,323477
2020-10,342215
2020-11,313591
2020-12,322114
2021-01,327321
2021-02,288249
2021-03,349186
2021-04,327193
2021-05,334343
2021-06,353075
2021-07,339544
2021-08,288163
2021-09,308262
2021-10,312746
2021-11,301387
2021-12,308566
2022-01,334446
2022-02,294390
2022-03,309864
2022-04,286141
2022-05,286028
2022-06,305264
2022-07,284534
2022-08,266586
2022-09,287281
2022-10,292194
2022-11,295860
2022-12,286016
2023-01,322799
2023-02,300029
2023-03,349806
2023-04,302171
2023-05,320655
2023-06,351632
2023-07,324615
2023-08,304589
2023-09,317579
2023-10,328805
2023-11,331984
2023-12,314780
2024-01,367495
2024-02,348273
2024-03,380888
2024-04,353484
2024-05,358109
2024-06,362928
2024-07,360529
2024-08,329362
2024-09,347057
2024-10,391447
2024-11,386059
2024-12,390340
2025-01,400386
2025-02,362773
2025-03,384161
