Periode,thuis opladen,elektrische auto,hybride elektrisch
2007/01,0,1,0
2007/02,0,0,0
2007/03,0,0,0
2007/04,0,0,0
2007/05,0,2,0
2007/06,0,2,0
2007/07,0,1,0
2007/08,0,1,0
2007/09,0,1,0
2007/10,0,1,0
2007/11,0,1,0
2007/12,0,0,0
2008/01,0,1,0
2008/02,0,1,0
2008/03,0,1,0
2008/04,0,1,0
2008/05,0,1,0
2008/06,0,4,0
2008/07,0,2,0
2008/08,0,2,0
2008/09,0,3,0
2008/10,0,3,0
2008/11,0,3,0
2008/12,0,3,0
2009/01,0,3,0
2009/02,0,3,0
2009/03,0,3,0
2009/04,0,6,0
2009/05,0,6,0
2009/06,0,5,0
2009/07,0,6,0
2009/08,0,5,0
2009/09,0,6,0
2009/10,0,5,0
2009/11,0,6,0
2009/12,0,5,0
2010/01,0,7,0
2010/02,0,5,0
2010/03,0,6,0
2010/04,0,6,0
2010/05,0,5,0
2010/06,0,4,0
2010/07,0,4,0
2010/08,0,5,0
2010/09,0,4,0
2010/10,0,4,0
2010/11,0,5,0
2010/12,0,4,0
2011/01,0,5,0
2011/02,0,6,0
2011/03,0,6,0
2011/04,0,10,0
2011/05,0,7,0
2011/06,0,8,0
2011/07,0,6,0
2011/08,0,6,0
2011/09,0,7,0
2011/10,0,6,0
2011/11,0,8,0
2011/12,0,8,0
2012/01,0,18,0
2012/02,0,20,0
2012/03,18,20,0
2012/04,0,14,0
2012/05,0,12,0
2012/06,0,12,0
2012/07,0,10,0
2012/08,0,10,0
2012/09,21,12,0
2012/10,0,11,12
2012/11,0,12,0
2012/12,0,11,0
2013/01,0,10,0
2013/02,0,10,0
2013/03,0,10,0
2013/04,0,10,0
2013/05,0,10,0
2013/06,15,10,0
2013/07,0,12,0
2013/08,0,14,0
2013/09,0,13,0
2013/10,0,14,0
2013/11,16,15,0
2013/12,22,18,0
2014/01,23,13,0
2014/02,15,11,0
2014/03,15,11,0
2014/04,20,12,0
2014/05,15,13,0
2014/06,0,12,0
2014/07,17,10,0
2014/08,15,10,0
2014/09,16,11,0
2014/10,13,11,9
2014/11,0,13,0
2014/12,16,10,8
2015/01,0,9,0
2015/02,0,9,0
2015/03,0,11,13
2015/04,15,10,0
2015/05,26,9,0
2015/06,19,12,0
2015/07,14,9,0
2015/08,0,9,0
2015/09,0,10,0
2015/10,16,12,10
2015/11,16,11,0
2015/12,14,12,0
2016/01,25,13,10
2016/02,15,12,0
2016/03,0,12,0
2016/04,16,13,0
2016/05,0,10,0
2016/06,18,10,0
2016/07,0,9,0
2016/08,18,10,0
2016/09,0,12,0
2016/10,13,13,0
2016/11,0,12,0
2016/12,24,15,0
2017/01,17,13,8
2017/02,15,11,0
2017/03,22,15,9
2017/04,15,14,11
2017/05,15,14,10
2017/06,18,14,0
2017/07,24,19,13
2017/08,36,15,12
2017/09,27,18,11
2017/10,25,19,0
2017/11,12,20,11
2017/12,33,22,14
2018/01,20,20,0
2018/02,28,20,0
2018/03,29,20,11
2018/04,23,20,9
2018/05,23,20,9
2018/06,40,21,13
2018/07,29,22,16
2018/08,33,22,13
2018/09,29,24,17
2018/10,29,28,19
2018/11,28,29,13
2018/12,62,38,20
2019/01,46,41,12
2019/02,31,28,8
2019/03,53,28,16
2019/04,26,28,15
2019/05,44,32,19
2019/06,35,29,17
2019/07,38,28,18
2019/08,51,26,13
2019/09,51,30,22
2019/10,59,35,22
2019/11,76,41,27
2019/12,70,44,19
2020/01,82,44,30
2020/02,56,39,18
2020/03,44,28,19
2020/04,30,23,9
2020/05,51,27,20
2020/06,53,35,21
2020/07,68,39,23
2020/08,51,34,22
2020/09,57,34,25
2020/10,61,40,22
2020/11,50,36,19
2020/12,60,34,22
2021/01,59,36,17
2021/02,55,34,20
2021/03,54,32,28
2021/04,47,35,26
2021/05,58,35,28
2021/06,51,38,37
2021/07,60,43,31
2021/08,70,49,25
2021/09,71,49,36
2021/10,73,56,48
2021/11,76,50,42
2021/12,51,51,33
2022/01,80,77,63
2022/02,68,63,59
2022/03,100,100,100
2022/04,83,71,67
2022/05,59,60,46
2022/06,79,72,63
2022/07,58,63,58
2022/08,60,54,62
2022/09,74,43,58
2022/10,53,45,49
2022/11,50,45,45
2022/12,51,46,54
2023/01,73,67,64
2023/02,43,49,52
2023/03,51,46,44
2023/04,58,62,56
2023/05,61,49,54
2023/06,50,49,45
2023/07,65,49,43
2023/08,73,52,49
2023/09,64,59,58
2023/10,70,52,49
2023/11,55,46,45
2023/12,50,46,49
2024/01,71,52,59
2024/02,54,49,48
2024/03,57,44,62
2024/04,68,59,64
2024/05,71,42,55
2024/06,57,44,58
2024/07,62,41,48
2024/08,55,43,50
2024/09,57,52,59
2024/10,79,50,63
2024/11,68,48,46
2024/12,69,46,60
2025/01,72,44,58
