Periode,Totaal_verkochte_wegvoertuigen
2007/01,31
2007/02,39
2007/03,123
2007/04,62
2007/05,84
2007/06,112
2007/07,124
2007/08,96
2007/09,120
2007/10,77
2007/11,170
2007/12,79
2008/01,100
2008/02,111
2008/03,174
2008/04,192
2008/05,287
2008/06,364
2008/07,365
2008/08,263
2008/09,298
2008/10,366
2008/11,250
2008/12,202
2009/01,168
2009/02,246
2009/03,287
2009/04,434
2009/05,433
2009/06,522
2009/07,575
2009/08,515
2009/09,474
2009/10,457
2009/11,398
2009/12,287
2010/01,248
2010/02,318
2010/03,518
2010/04,774
2010/05,663
2010/06,774
2010/07,986
2010/08,616
2010/09,530
2010/10,411
2010/11,402
2010/12,224
2011/01,365
2011/02,427
2011/03,697
2011/04,805
2011/05,1045
2011/06,841
2011/07,826
2011/08,814
2011/09,671
2011/10,737
2011/11,862
2011/12,476
2012/01,602
2012/02,480
2012/03,995
2012/04,905
2012/05,939
2012/06,1021
2012/07,749
2012/08,946
2012/09,704
2012/10,663
2012/11,530
2012/12,497
2013/01,457
2013/02,504
2013/03,605
2013/04,751
2013/05,844
2013/06,899
2013/07,903
2013/08,880
2013/09,967
2013/10,697
2013/11,1123
2013/12,1655
2014/01,565
2014/02,535
2014/03,1159
2014/04,1104
2014/05,1367
2014/06,1473
2014/07,1268
2014/08,1206
2014/09,1524
2014/10,1207
2014/11,1064
2014/12,1970
2015/01,1202
2015/02,926
2015/03,1615
2015/04,1362
2015/05,1332
2015/06,1669
2015/07,1447
2015/08,1245
2015/09,1485
2015/10,1217
2015/11,1009
2015/12,1373
2016/01,875
2016/02,1133
2016/03,1786
2016/04,1524
2016/05,1518
2016/06,1706
2016/07,1248
2016/08,1300
2016/09,1793
2016/10,1305
2016/11,1225
2016/12,1720
2017/01,1303
2017/02,1320
2017/03,2135
2017/04,1584
2017/05,1995
2017/06,2459
2017/07,2109
2017/08,2053
2017/09,2569
2017/10,2026
2017/11,2435
2017/12,4059
2018/01,3169
2018/02,2561
2018/03,3503
2018/04,2877
2018/05,3302
2018/06,4300
2018/07,3365
2018/08,3946
2018/09,4841
2018/10,3919
2018/11,5271
2018/12,7999
2019/01,5037
2019/02,4418
2019/03,7219
2019/04,5074
2019/05,6291
2019/06,7221
2019/07,5544
2019/08,5986
2019/09,10695
2019/10,5862
2019/11,10466
2019/12,26459
2020/01,6881
2020/02,6782
2020/03,7812
2020/04,5459
2020/05,6092
2020/06,9024
2020/07,10438
2020/08,9923
2020/09,12967
2020/10,12915
2020/11,14125
2020/12,35341
2021/01,8633
2021/02,7325
2021/03,10882
2021/04,10148
2021/05,11834
2021/06,15736
2021/07,14522
2021/08,14615
2021/09,15143
2021/10,14904
2021/11,16421
2021/12,29509
2022/01,16338
2022/02,12278
2022/03,18662
2022/04,16571
2022/05,15954
2022/06,18977
2022/07,16504
2022/08,17508
2022/09,15637
2022/10,14854
2022/11,15395
2022/12,22443
2023/01,16487
2023/02,16593
2023/03,24311
2023/04,18281
2023/05,22305
2023/06,27262
2023/07,27851
2023/08,22109
2023/09,26040
2023/10,23240
2023/11,23676
2023/12,23490
2024/01,24325
2024/02,22060
2024/03,29193
2024/04,25326
2024/05,26607
2024/06,27731
2024/07,25370
2024/08,23683
2024/09,28820
2024/10,30491
2024/11,32623
2024/12,39594
2025/01,33680
2025/02,29071
2025/03,31118
